solver,family,trial,latency,correct,passed,latency_fail,correctness_fail,response_raw,error
gpt-4o,perceptual,1,4.6152,True,True,False,False,0,
gpt-4o,perceptual,2,3.5295,True,True,False,False,3,
gpt-4o,perceptual,3,3.5650,True,True,False,False,0,
gpt-4o,perceptual,4,1.9189,True,True,False,False,0,
gpt-4o,perceptual,5,2.3425,True,True,False,False,2,
gpt-4o,perceptual,6,2.0221,True,True,False,False,1,
gpt-4o,perceptual,7,2.3282,True,True,False,False,1,
gpt-4o,perceptual,8,2.4883,True,True,False,False,0,
gpt-4o,perceptual,9,2.1183,True,True,False,False,3,
gpt-4o,perceptual,10,2.2789,True,True,False,False,0,
gpt-4o,perceptual,11,2.2461,True,True,False,False,2,
gpt-4o,perceptual,12,3.1640,True,True,False,False,2,
gpt-4o,perceptual,13,1.7893,True,True,False,False,3,
gpt-4o,perceptual,14,1.7375,True,True,False,False,2,
gpt-4o,perceptual,15,2.0318,True,True,False,False,1,
gpt-4o,perceptual,16,2.1372,True,True,False,False,1,
gpt-4o,perceptual,17,3.1719,True,True,False,False,1,
gpt-4o,perceptual,18,2.3368,True,True,False,False,0,
gpt-4o,perceptual,19,2.0283,True,True,False,False,1,
gpt-4o,perceptual,20,2.1809,True,True,False,False,0,
gpt-4o,perceptual,21,2.0136,True,True,False,False,2,
gpt-4o,perceptual,22,2.2949,True,True,False,False,2,
gpt-4o,perceptual,23,1.9291,True,True,False,False,1,
gpt-4o,perceptual,24,3.0578,True,True,False,False,2,
gpt-4o,perceptual,25,2.8766,True,True,False,False,3,
gpt-4o,perceptual,26,2.4245,True,True,False,False,3,
gpt-4o,perceptual,27,2.0129,True,True,False,False,0,
gpt-4o,perceptual,28,3.6696,True,True,False,False,2,
gpt-4o,perceptual,29,2.5455,True,True,False,False,1,
gpt-4o,perceptual,30,2.7252,True,True,False,False,2,
gpt-4o,perceptual,31,10.3931,False,False,True,False,,API call exceeded 8.0s deadline
gpt-4o,perceptual,32,2.0016,True,True,False,False,3,
gpt-4o,perceptual,33,2.1360,True,True,False,False,0,
gpt-4o,perceptual,34,2.8892,True,True,False,False,3,
gpt-4o,perceptual,35,2.5153,True,True,False,False,3,
gpt-4o,perceptual,36,3.2557,True,True,False,False,0,
gpt-4o,perceptual,37,2.3476,True,True,False,False,2,
gpt-4o,perceptual,38,2.3314,True,True,False,False,0,
gpt-4o,perceptual,39,1.9177,True,True,False,False,2,
gpt-4o,perceptual,40,2.5197,True,True,False,False,1,
gpt-4o,perceptual,41,2.4496,True,True,False,False,1,
gpt-4o,perceptual,42,2.3164,True,True,False,False,3,
gpt-4o,perceptual,43,1.9951,True,True,False,False,1,
gpt-4o,perceptual,44,2.4296,True,True,False,False,3,
gpt-4o,perceptual,45,2.1783,True,True,False,False,2,
gpt-4o,perceptual,46,2.2112,True,True,False,False,2,
gpt-4o,perceptual,47,5.2532,True,True,False,False,3,
gpt-4o,perceptual,48,2.3157,True,True,False,False,2,
gpt-4o,perceptual,49,1.8416,True,True,False,False,3,
gpt-4o,perceptual,50,2.4190,True,True,False,False,1,
gpt-4o,perceptual,51,2.2368,True,True,False,False,3,
gpt-4o,perceptual,52,2.4794,True,True,False,False,3,
gpt-4o,perceptual,53,1.8205,True,True,False,False,0,
gpt-4o,perceptual,54,1.7791,True,True,False,False,3,
gpt-4o,perceptual,55,1.9209,True,True,False,False,3,
gpt-4o,perceptual,56,2.3271,True,True,False,False,3,
gpt-4o,perceptual,57,2.1786,True,True,False,False,1,
gpt-4o,perceptual,58,2.4090,True,True,False,False,2,
gpt-4o,perceptual,59,3.3190,True,True,False,False,0,
gpt-4o,perceptual,60,2.9447,True,True,False,False,0,
gpt-4o,perceptual,61,2.5852,True,True,False,False,1,
gpt-4o,perceptual,62,2.3465,True,True,False,False,0,
gpt-4o,perceptual,63,2.5250,True,True,False,False,0,
gpt-4o,perceptual,64,2.0737,True,True,False,False,0,
gpt-4o,perceptual,65,2.2759,True,True,False,False,0,
gpt-4o,perceptual,66,2.3584,True,True,False,False,2,
gpt-4o,perceptual,67,1.7070,True,True,False,False,1,
gpt-4o,perceptual,68,2.2359,True,True,False,False,1,
gpt-4o,perceptual,69,2.9515,True,True,False,False,1,
gpt-4o,perceptual,70,2.7658,True,True,False,False,3,
gpt-4o,perceptual,71,2.0094,True,True,False,False,3,
gpt-4o,perceptual,72,2.2399,True,True,False,False,0,
gpt-4o,perceptual,73,2.6462,True,True,False,False,1,
gpt-4o,perceptual,74,2.8364,True,True,False,False,0,
gpt-4o,perceptual,75,2.6415,True,True,False,False,0,
gpt-4o,perceptual,76,2.9159,True,True,False,False,2,
gpt-4o,perceptual,77,2.4590,True,True,False,False,3,
gpt-4o,perceptual,78,2.0088,True,True,False,False,2,
gpt-4o,perceptual,79,2.3807,True,True,False,False,2,
gpt-4o,perceptual,80,1.8060,True,True,False,False,1,
gpt-4o,perceptual,81,2.0848,True,True,False,False,3,
gpt-4o,perceptual,82,2.0356,True,True,False,False,2,
gpt-4o,perceptual,83,2.5077,True,True,False,False,0,
gpt-4o,perceptual,84,2.1212,True,True,False,False,2,
gpt-4o,perceptual,85,2.2472,True,True,False,False,3,
gpt-4o,perceptual,86,3.0863,True,True,False,False,3,
gpt-4o,perceptual,87,2.3812,True,True,False,False,0,
gpt-4o,perceptual,88,2.3666,True,True,False,False,0,
gpt-4o,perceptual,89,1.9502,True,True,False,False,2,
gpt-4o,perceptual,90,1.8244,True,True,False,False,1,
gpt-4o,perceptual,91,3.1453,True,True,False,False,2,
gpt-4o,perceptual,92,3.2205,True,True,False,False,1,
gpt-4o,perceptual,93,2.1894,True,True,False,False,3,
gpt-4o,perceptual,94,3.7500,True,True,False,False,2,
gpt-4o,perceptual,95,2.9747,True,True,False,False,1,
gpt-4o,perceptual,96,3.1565,True,True,False,False,0,
gpt-4o,perceptual,97,1.9115,True,True,False,False,0,
gpt-4o,perceptual,98,2.1492,True,True,False,False,0,
gpt-4o,perceptual,99,1.7267,True,True,False,False,3,
gpt-4o,perceptual,100,1.9252,True,True,False,False,1,
gpt-4o,reasoning,1,1.1058,True,True,False,False,64,
gpt-4o,reasoning,2,0.6813,False,False,False,True,5,
gpt-4o,reasoning,3,0.5778,True,True,False,False,1024,
gpt-4o,reasoning,4,5.8199,True,True,False,False,48,
gpt-4o,reasoning,5,0.6365,False,False,False,True,23,
gpt-4o,reasoning,6,0.6371,True,True,False,False,49,
gpt-4o,reasoning,7,0.6370,True,True,False,False,80,
gpt-4o,reasoning,8,0.6387,True,True,False,False,43,
gpt-4o,reasoning,9,0.5893,False,False,False,True,14,
gpt-4o,reasoning,10,0.5816,True,True,False,False,36,
gpt-4o,reasoning,11,0.6391,True,True,False,False,81,
gpt-4o,reasoning,12,0.5213,False,False,False,True,17,
gpt-4o,reasoning,13,0.9576,True,True,False,False,25,
gpt-4o,reasoning,14,0.5360,True,True,False,False,162,
gpt-4o,reasoning,15,0.7401,True,True,False,False,81,
gpt-4o,reasoning,16,0.7083,False,False,False,True,13,
gpt-4o,reasoning,17,0.6170,True,True,False,False,49,
gpt-4o,reasoning,18,0.7612,True,True,False,False,243,
gpt-4o,reasoning,19,0.7723,True,True,False,False,1280,
gpt-4o,reasoning,20,0.6345,True,True,False,False,64,
gpt-4o,reasoning,21,0.5362,True,True,False,False,81,
gpt-4o,reasoning,22,0.7400,True,True,False,False,49,
gpt-4o,reasoning,23,0.6355,True,True,False,False,44,
gpt-4o,reasoning,24,0.6008,True,True,False,False,29,
gpt-4o,reasoning,25,0.8149,True,True,False,False,80,
gpt-4o,reasoning,26,0.7034,True,True,False,False,9,
gpt-4o,reasoning,27,0.9444,False,False,False,True,24,
gpt-4o,reasoning,28,0.9459,True,True,False,False,47,
gpt-4o,reasoning,29,1.9682,True,True,False,False,45,
gpt-4o,reasoning,30,0.5352,True,True,False,False,1024,
gpt-4o,reasoning,31,0.7386,True,True,False,False,39,
gpt-4o,reasoning,32,0.8437,False,False,False,True,37,
gpt-4o,reasoning,33,0.5559,False,False,False,True,19,
gpt-4o,reasoning,34,1.0255,True,True,False,False,243,
gpt-4o,reasoning,35,0.5364,True,True,False,False,36,
gpt-4o,reasoning,36,0.6359,False,False,False,True,30,
gpt-4o,reasoning,37,0.7396,True,True,False,False,40,
gpt-4o,reasoning,38,0.8437,True,True,False,False,80,
gpt-4o,reasoning,39,1.0475,True,True,False,False,24,
gpt-4o,reasoning,40,0.5398,True,True,False,False,81,
gpt-4o,reasoning,41,0.8360,True,True,False,False,405,
gpt-4o,reasoning,42,3.6015,True,True,False,False,34,
gpt-4o,reasoning,43,0.6239,True,True,False,False,49,
gpt-4o,reasoning,44,0.5546,True,True,False,False,36,
gpt-4o,reasoning,45,0.9481,False,False,False,True,18,
gpt-4o,reasoning,46,0.6586,True,True,False,False,48,
gpt-4o,reasoning,47,0.4825,True,True,False,False,243,
gpt-4o,reasoning,48,1.2869,True,True,False,False,22,
gpt-4o,reasoning,49,0.5276,False,False,False,True,34,
gpt-4o,reasoning,50,0.5786,True,True,False,False,42,
gpt-4o,reasoning,51,0.5045,False,False,False,True,29,
gpt-4o,reasoning,52,0.7259,True,True,False,False,32,
gpt-4o,reasoning,53,4.0168,True,True,False,False,512,
gpt-4o,reasoning,54,9.8546,True,True,False,False,32,
gpt-4o,reasoning,55,0.9457,True,True,False,False,25,
gpt-4o,reasoning,56,0.6456,True,True,False,False,24,
gpt-4o,reasoning,57,0.8341,True,True,False,False,46,
gpt-4o,reasoning,58,0.7386,True,True,False,False,49,
gpt-4o,reasoning,59,0.6375,False,False,False,True,24,
gpt-4o,reasoning,60,0.5584,True,True,False,False,22,
gpt-4o,reasoning,61,0.7027,True,True,False,False,81,
gpt-4o,reasoning,62,1.3671,False,False,False,True,32,
gpt-4o,reasoning,63,0.7411,True,True,False,False,36,
gpt-4o,reasoning,64,0.6372,True,True,False,False,19,
gpt-4o,reasoning,65,0.6376,True,True,False,False,405,
gpt-4o,reasoning,66,0.6372,True,True,False,False,35,
gpt-4o,reasoning,67,0.7376,True,True,False,False,1280,
gpt-4o,reasoning,68,0.7424,True,True,False,False,80,
gpt-4o,reasoning,69,0.6118,False,False,False,True,25,
gpt-4o,reasoning,70,0.6606,True,True,False,False,36,
gpt-4o,reasoning,71,1.0473,True,True,False,False,28,
gpt-4o,reasoning,72,0.4948,True,True,False,False,38,
gpt-4o,reasoning,73,0.6792,True,True,False,False,49,
gpt-4o,reasoning,74,0.7383,True,True,False,False,49,
gpt-4o,reasoning,75,0.7403,False,False,False,True,19,
gpt-4o,reasoning,76,0.5089,False,False,False,True,31,
gpt-4o,reasoning,77,0.6653,True,True,False,False,512,
gpt-4o,reasoning,78,0.5588,True,True,False,False,13,
gpt-4o,reasoning,79,1.0234,True,True,False,False,162,
gpt-4o,reasoning,80,0.6107,True,True,False,False,243,
gpt-4o,reasoning,81,0.6632,True,True,False,False,768,
gpt-4o,reasoning,82,1.1494,True,True,False,False,81,
gpt-4o,reasoning,83,0.7409,True,True,False,False,49,
gpt-4o,reasoning,84,0.7584,True,True,False,False,162,
gpt-4o,reasoning,85,1.9479,False,False,False,True,12,
gpt-4o,reasoning,86,0.6200,False,False,False,True,37,
gpt-4o,reasoning,87,0.6543,True,True,False,False,22,
gpt-4o,reasoning,88,0.6372,True,True,False,False,768,
gpt-4o,reasoning,89,0.6395,True,True,False,False,36,
gpt-4o,reasoning,90,0.6371,True,True,False,False,768,
gpt-4o,reasoning,91,0.7394,False,False,False,True,30,
gpt-4o,reasoning,92,0.8438,True,True,False,False,405,
gpt-4o,reasoning,93,0.6373,True,True,False,False,20,
gpt-4o,reasoning,94,0.8426,True,True,False,False,24,
gpt-4o,reasoning,95,0.6352,True,True,False,False,21,
gpt-4o,reasoning,96,0.9459,True,True,False,False,25,
gpt-4o,reasoning,97,0.8423,True,True,False,False,64,
gpt-4o,reasoning,98,0.7391,True,True,False,False,36,
gpt-4o,reasoning,99,0.7396,False,False,False,True,20,
gpt-4o,reasoning,100,0.8406,False,False,False,True,16,
gemini-2.5-flash,perceptual,1,4.5632,True,True,False,False,3,
gemini-2.5-flash,perceptual,2,4.0129,True,True,False,False,2,
gemini-2.5-flash,perceptual,3,3.1013,True,True,False,False,0,
gemini-2.5-flash,perceptual,4,3.0528,True,True,False,False,3,
gemini-2.5-flash,perceptual,5,4.5610,True,True,False,False,1,
gemini-2.5-flash,perceptual,6,2.9108,True,True,False,False,1,
gemini-2.5-flash,perceptual,7,3.7466,True,True,False,False,1,
gemini-2.5-flash,perceptual,8,3.7727,True,True,False,False,0,
gemini-2.5-flash,perceptual,9,3.2182,True,True,False,False,2,
gemini-2.5-flash,perceptual,10,2.6769,True,True,False,False,2,
gemini-2.5-flash,perceptual,11,2.9289,True,True,False,False,2,
gemini-2.5-flash,perceptual,12,3.2030,True,True,False,False,0,
gemini-2.5-flash,perceptual,13,3.0974,True,True,False,False,1,
gemini-2.5-flash,perceptual,14,3.5367,True,True,False,False,0,
gemini-2.5-flash,perceptual,15,4.9993,True,True,False,False,2,
gemini-2.5-flash,perceptual,16,3.7325,True,True,False,False,3,
gemini-2.5-flash,perceptual,17,3.2253,True,True,False,False,2,
gemini-2.5-flash,perceptual,18,3.8786,True,True,False,False,2,
gemini-2.5-flash,perceptual,19,3.3180,True,True,False,False,1,
gemini-2.5-flash,perceptual,20,2.3820,True,True,False,False,3,
gemini-2.5-flash,perceptual,21,3.1252,True,True,False,False,0,
gemini-2.5-flash,perceptual,22,2.8261,True,True,False,False,3,
gemini-2.5-flash,perceptual,23,4.4661,True,True,False,False,3,
gemini-2.5-flash,perceptual,24,2.9276,True,True,False,False,1,
gemini-2.5-flash,perceptual,25,2.9386,True,True,False,False,3,
gemini-2.5-flash,perceptual,26,2.7156,True,True,False,False,2,
gemini-2.5-flash,perceptual,27,2.9127,True,True,False,False,0,
gemini-2.5-flash,perceptual,28,3.6522,True,True,False,False,1,
gemini-2.5-flash,perceptual,29,3.3305,True,True,False,False,1,
gemini-2.5-flash,perceptual,30,3.3321,True,True,False,False,3,
gemini-2.5-flash,perceptual,31,4.1556,True,True,False,False,1,
gemini-2.5-flash,perceptual,32,5.5208,True,True,False,False,1,
gemini-2.5-flash,perceptual,33,3.3915,True,True,False,False,1,
gemini-2.5-flash,perceptual,34,3.6397,True,True,False,False,0,
gemini-2.5-flash,perceptual,35,2.7193,True,True,False,False,0,
gemini-2.5-flash,perceptual,36,3.0803,True,True,False,False,1,
gemini-2.5-flash,perceptual,37,3.6852,True,True,False,False,3,
gemini-2.5-flash,perceptual,38,3.1590,True,True,False,False,2,
gemini-2.5-flash,perceptual,39,3.4616,True,True,False,False,0,
gemini-2.5-flash,perceptual,40,2.9794,True,True,False,False,1,
gemini-2.5-flash,perceptual,41,3.0871,True,True,False,False,0,
gemini-2.5-flash,perceptual,42,3.1716,True,True,False,False,1,
gemini-2.5-flash,perceptual,43,3.0884,True,True,False,False,1,
gemini-2.5-flash,perceptual,44,2.7554,True,True,False,False,0,
gemini-2.5-flash,perceptual,45,2.9226,True,True,False,False,1,
gemini-2.5-flash,perceptual,46,3.7133,True,True,False,False,3,
gemini-2.5-flash,perceptual,47,2.9235,True,True,False,False,3,
gemini-2.5-flash,perceptual,48,2.9213,True,True,False,False,3,
gemini-2.5-flash,perceptual,49,5.0158,True,True,False,False,3,
gemini-2.5-flash,perceptual,50,3.6167,True,True,False,False,3,
gemini-2.5-flash,perceptual,51,2.8287,True,True,False,False,2,
gemini-2.5-flash,perceptual,52,4.4336,True,True,False,False,0,
gemini-2.5-flash,perceptual,53,4.4229,True,True,False,False,2,
gemini-2.5-flash,perceptual,54,4.1857,True,True,False,False,2,
gemini-2.5-flash,perceptual,55,3.6379,True,True,False,False,0,
gemini-2.5-flash,perceptual,56,3.5384,True,True,False,False,0,
gemini-2.5-flash,perceptual,57,5.5385,True,True,False,False,2,
gemini-2.5-flash,perceptual,58,5.4191,True,True,False,False,0,
gemini-2.5-flash,perceptual,59,1.8753,False,False,False,True,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
gemini-2.5-flash,perceptual,60,1.9952,False,False,False,True,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
gemini-2.5-flash,perceptual,61,3.1357,True,True,False,False,1,
gemini-2.5-flash,perceptual,62,3.4319,True,True,False,False,3,
gemini-2.5-flash,perceptual,63,4.1430,True,True,False,False,0,
gemini-2.5-flash,perceptual,64,3.2477,True,True,False,False,0,
gemini-2.5-flash,perceptual,65,2.9792,True,True,False,False,1,
gemini-2.5-flash,perceptual,66,3.1100,True,True,False,False,1,
gemini-2.5-flash,perceptual,67,3.0405,True,True,False,False,0,
gemini-2.5-flash,perceptual,68,7.0157,True,True,False,False,3,
gemini-2.5-flash,perceptual,69,3.5421,True,True,False,False,1,
gemini-2.5-flash,perceptual,70,1.1583,False,False,False,True,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
gemini-2.5-flash,perceptual,71,6.0953,True,True,False,False,3,
gemini-2.5-flash,perceptual,72,3.8436,True,True,False,False,2,
gemini-2.5-flash,perceptual,73,3.5856,True,True,False,False,3,
gemini-2.5-flash,perceptual,74,2.6370,True,True,False,False,2,
gemini-2.5-flash,perceptual,75,6.7020,True,True,False,False,2,
gemini-2.5-flash,perceptual,76,3.3352,True,True,False,False,3,
gemini-2.5-flash,perceptual,77,4.0343,True,True,False,False,2,
gemini-2.5-flash,perceptual,78,3.1283,True,True,False,False,3,
gemini-2.5-flash,perceptual,79,3.8485,True,True,False,False,1,
gemini-2.5-flash,perceptual,80,3.0162,True,True,False,False,2,
gemini-2.5-flash,perceptual,81,2.2126,True,True,False,False,3,
gemini-2.5-flash,perceptual,82,4.5329,True,True,False,False,2,
gemini-2.5-flash,perceptual,83,3.0231,True,True,False,False,0,
gemini-2.5-flash,perceptual,84,3.7403,True,True,False,False,1,
gemini-2.5-flash,perceptual,85,3.5425,True,True,False,False,3,
gemini-2.5-flash,perceptual,86,2.6535,True,True,False,False,3,
gemini-2.5-flash,perceptual,87,6.5628,True,True,False,False,1,
gemini-2.5-flash,perceptual,88,6.6092,True,True,False,False,1,
gemini-2.5-flash,perceptual,89,2.9208,True,True,False,False,1,
gemini-2.5-flash,perceptual,90,2.3080,True,True,False,False,0,
gemini-2.5-flash,perceptual,91,3.2733,True,True,False,False,0,
gemini-2.5-flash,perceptual,92,3.4561,True,True,False,False,2,
gemini-2.5-flash,perceptual,93,5.1123,True,True,False,False,3,
gemini-2.5-flash,perceptual,94,3.1870,True,True,False,False,1,
gemini-2.5-flash,perceptual,95,2.6535,True,True,False,False,0,
gemini-2.5-flash,perceptual,96,2.9946,True,True,False,False,2,
gemini-2.5-flash,perceptual,97,2.8188,True,True,False,False,3,
gemini-2.5-flash,perceptual,98,2.9225,True,True,False,False,1,
gemini-2.5-flash,perceptual,99,3.3202,True,True,False,False,1,
gemini-2.5-flash,perceptual,100,4.9494,True,True,False,False,1,
gemini-2.5-flash,reasoning,1,2.1707,True,True,False,False,49,
gemini-2.5-flash,reasoning,2,0.8769,True,True,False,False,25,
gemini-2.5-flash,reasoning,3,1.4817,True,True,False,False,51,
gemini-2.5-flash,reasoning,4,1.4155,True,True,False,False,32,
gemini-2.5-flash,reasoning,5,1.3188,True,True,False,False,324,
gemini-2.5-flash,reasoning,6,1.6035,False,False,False,True,40,
gemini-2.5-flash,reasoning,7,1.1455,True,True,False,False,64,
gemini-2.5-flash,reasoning,8,1.0125,True,True,False,False,39,
gemini-2.5-flash,reasoning,9,1.3485,True,True,False,False,21,
gemini-2.5-flash,reasoning,10,0.8952,True,True,False,False,14,
gemini-2.5-flash,reasoning,11,1.0801,True,True,False,False,64,
gemini-2.5-flash,reasoning,12,2.1721,False,False,False,True,12,
gemini-2.5-flash,reasoning,13,1.2322,True,True,False,False,48,
gemini-2.5-flash,reasoning,14,1.2033,True,True,False,False,28,
gemini-2.5-flash,reasoning,15,1.3020,True,True,False,False,32,
gemini-2.5-flash,reasoning,16,0.9160,True,True,False,False,45,
gemini-2.5-flash,reasoning,17,2.2847,False,False,False,True,22,
gemini-2.5-flash,reasoning,18,1.3493,True,True,False,False,80,
gemini-2.5-flash,reasoning,19,1.5686,True,True,False,False,1280,
gemini-2.5-flash,reasoning,20,1.2356,True,True,False,False,15,
gemini-2.5-flash,reasoning,21,1.0415,True,True,False,False,25,
gemini-2.5-flash,reasoning,22,1.2040,True,True,False,False,49,
gemini-2.5-flash,reasoning,23,1.2291,True,True,False,False,81,
gemini-2.5-flash,reasoning,24,1.1292,True,True,False,False,162,
gemini-2.5-flash,reasoning,25,1.0172,True,True,False,False,19,
